Star_ID,Mass (MSun),X (pc),Y (pc),Z (pc),Simulation Time (Myr)
0,0.100802056321,-2.90741878439,-3.71055126234,-4.24329321355,60.00000000000058
1,0.823973996413,-3.14464386589,-6.61832684004,-11.0158228894,60.00000000000058
2,0.114065740155,0.111022923123,-5.96999397311,-11.2018553118,60.00000000000058
3,0.813684939039,-6.65542424564,-6.9673579936,-15.4280575041,60.00000000000058
4,0.102339261212,24.5227785723,23.6152177783,-10.7259850494,60.00000000000058
5,0.104718570568,-3.65003563456,-8.2323059276,-7.51136785462,60.00000000000058
6,0.360645001599,-3.90121275845,-9.26937363528,-8.42911895224,60.00000000000058
7,0.592308882822,-0.0362608747767,-3.93281058955,-16.0301666162,60.00000000000058
8,0.151214415722,-3.75018543486,-8.83871562833,-6.43810660981,60.00000000000058
9,0.106844977847,-0.678518130068,-8.50406019027,-8.39684934286,60.00000000000058
10,0.306079308248,30.6172940452,-1.9203015031,-3.79099301328,60.00000000000058
11,0.122203994478,-2.07803711881,-9.61062414277,-4.49611190783,60.00000000000058
12,0.560062753535,-5.37137734985,-11.9713346518,-8.7436746627,60.00000000000058
13,0.421373106028,-6.93370041023,-7.75241559445,-10.1994635762,60.00000000000058
14,0.254808159987,-5.08913555835,-7.85937703613,-5.61820890224,60.00000000000058
15,0.403433751479,-4.83357894509,-4.29886600388,-7.30743325768,60.00000000000058
16,0.270498307547,4.31166535434,-3.27705694803,-12.2700195815,60.00000000000058
17,0.148261703558,5.90274278488,0.82074664614,-3.56755440538,60.00000000000058
18,0.204996892574,-0.133535673006,-8.30955155306,-9.55627089334,60.00000000000058
19,0.487677259819,-2.26779116978,-8.01969951497,-9.90941558897,60.00000000000058
20,0.336254162679,-0.307746412158,-32.0270029494,27.5396996898,60.00000000000058
21,0.849591112077,-1.35803762246,-5.86986531805,-11.4533363471,60.00000000000058
22,0.15450120385,3.98324937167,-3.7399544678,-11.8504902135,60.00000000000058
23,0.196760070839,-5.90229845545,-7.64063575429,-9.38048717255,60.00000000000058
24,0.868289247935,-14.6019006565,22.6700487436,-27.6939024856,60.00000000000058
25,0.115061447558,4.3826330444,1.77966775581,-15.6073938569,60.00000000000058
26,1.58161500905,-4.07234486474,-2.69046169966,-8.10997335539,60.00000000000058
27,0.131480832774,19.3098447113,1.37144532446,-24.176703608,60.00000000000058
28,3.18180661149,18.4805260231,-2.6884791515,44.5126383293,60.00000000000058
29,0.129291991684,-4.17921388542,-4.36098989303,-9.4779097508,60.00000000000058
30,0.193923991058,-13.6013428503,52.3232754512,8.45891633833,60.00000000000058
31,0.377385419721,1.90658869392,6.08834815396,-14.9694055962,60.00000000000058
32,0.538523258867,14.9270146911,-47.6455312115,-5.3944447567,60.00000000000058
33,1.0099001423,-6.83697067522,-7.22260567308,-7.7403303094,60.00000000000058
34,0.777731668136,-5.47291513219,-13.0491531389,-19.4600197331,60.00000000000058
35,0.363729767718,0.301721877185,-8.97749046318,-9.69401512854,60.00000000000058
36,0.120064305117,-8.18171844031,-25.3610868565,-33.992231619,60.00000000000058
37,2.92958125477,-3.65422663631,-6.23847971999,-10.6396584468,60.00000000000058
38,0.490156023365,-2.69560254655,-5.38628975235,-9.01634781605,60.00000000000058
39,0.161460395002,-2.88331173991,-7.74179503845,-11.7853697589,60.00000000000058
40,0.181199583702,-9.69289889708,-7.7402194822,-10.149543533,60.00000000000058
41,0.204652557996,-2.8016963127,0.877238891989,-5.79304072943,60.00000000000058
42,0.952523777595,-5.76634441772,-5.92844526077,-9.86199425881,60.00000000000058
43,0.42283777945,10.2701266327,7.95103036298,-14.5032410227,60.00000000000058
44,0.27624632989,-2.6425551803,-5.18053970742,-10.3761632389,60.00000000000058
45,2.35335276153,-21.8926234223,-41.5639849409,1.09343081848,60.00000000000058
46,0.628105515806,-9.44675114186,-6.55995183869,-14.6541582299,60.00000000000058
47,2.61149425041,-1.36715829641,-8.16053207883,-9.24964477298,60.00000000000058
48,0.692866864113,-3.38574833115,-5.20738522921,-11.9923477082,60.00000000000058
49,0.312278806907,-5.77209948742,-6.83499849625,-14.7422351993,60.00000000000058
50,0.405603535428,-3.94470630344,-8.55982475399,-8.52723596284,60.00000000000058
51,0.179405895991,-2.6539494773,-10.0918555626,-10.0575698523,60.00000000000058
52,0.232410160839,-6.21187293642,-4.51734534587,-10.789527775,60.00000000000058
53,0.59269958749,13.2974236326,6.57391602183,18.0750282959,60.00000000000058
54,0.102528370728,-3.28237483938,-8.11803345387,-14.0073034368,60.00000000000058
55,0.103667157781,-7.68041334651,-3.9138265277,-3.17899881784,60.00000000000058
56,0.553378428605,-0.752267448261,-5.40236487286,-12.1593778106,60.00000000000058
57,0.251574019204,-0.482907823746,-2.26980006413,-4.02794520992,60.00000000000058
58,0.446707336388,-4.0224916552,-4.593432099,-9.94430158222,60.00000000000058
59,0.140113975213,-42.4876606289,29.2005199489,19.3952448212,60.00000000000058
60,0.11463561627,0.535378353639,-6.8551507403,-10.8396925874,60.00000000000058
61,0.241742965223,-4.28095583888,-4.08384919587,-10.4911423263,60.00000000000058
62,0.159897835427,-8.87095266992,-9.17028485895,-6.66798042963,60.00000000000058
63,1.68752448634,-4.43206830653,-4.87322869428,-7.14043674819,60.00000000000058
64,0.232634396255,-5.83463519383,-3.94136207037,-5.65949108168,60.00000000000058
65,0.358456080514,-5.16053209992,-8.44587530741,-7.65375964407,60.00000000000058
66,0.149757749848,2.99460152401,-4.76684575641,-13.1948128816,60.00000000000058
67,1.19552388557,1.48457300339,11.1594572224,-10.6793528399,60.00000000000058
68,0.242807239923,-7.89993295576,-18.9608237131,-14.4634156804,60.00000000000058
69,0.490777604274,-2.48503949859,-6.62214416075,-10.918178511,60.00000000000058
70,0.25648980851,-19.9337646164,11.1889309868,19.066785644,60.00000000000058
71,0.101191979303,-1.84489174326,-14.6648534175,-9.9897720047,60.00000000000058
72,0.427038579248,5.0743279169,-13.1358034463,-8.74776118261,60.00000000000058
73,0.491476393595,-22.0632518571,9.27586424047,-20.3127046355,60.00000000000058
74,0.491262101202,-0.326172497183,-8.90749014013,-11.188778075,60.00000000000058
75,1.21562102466,-10.8471933178,0.739206818365,-18.5975689988,60.00000000000058
76,0.125431826356,-2.16124947893,-4.52471779903,-6.27842954024,60.00000000000058
77,0.709332391052,-5.06898307497,-7.6247500984,-5.71003375811,60.00000000000058
78,0.405494407571,2.28616285155,1.46996113091,-15.0074850576,60.00000000000058
79,0.643397086903,-3.95744905039,-3.74743186756,-11.7409515739,60.00000000000058
80,0.164870810771,-1.81495530567,-6.97870476721,-7.45583141975,60.00000000000058
81,0.144552003895,-5.90362070568,-4.44712656828,-4.28719184344,60.00000000000058
