Star_ID,Mass (MSun),X (pc),Y (pc),Z (pc),Simulation Time (Myr)
0,0.43972288677,42.6842281473,19.3611727812,28.1647088146,68.2000000000004
1,1.59000589843,20.1164041744,14.943895221,-6.25587828707,68.2000000000004
2,1.40278086352,15.8026918525,8.85503052117,-4.60580329469,68.2000000000004
3,0.224511307673,8.22003599307,19.1301230023,-5.34089085364,68.2000000000004
4,0.29154240306,39.097700945,57.1480723367,-2.07693693956,68.2000000000004
5,1.5321022981,2.55587351484,27.0013901349,-19.8336341106,68.2000000000004
6,0.415256958078,15.696819635,12.4661264999,-7.40980549571,68.2000000000004
7,0.146202448904,18.7600484419,21.0587333113,-8.57745227351,68.2000000000004
8,0.347013884935,12.6948672477,18.8342990139,-13.8363586591,68.2000000000004
9,0.652401387878,17.3790593533,20.3698432399,-9.53110559132,68.2000000000004
10,0.223924439284,21.3427480405,12.1939878975,-15.5679863064,68.2000000000004
11,0.576709525412,16.957543931,17.4128284283,-5.88332081959,68.2000000000004
12,0.241370729047,18.0319983447,17.7331177263,-7.04385897344,68.2000000000004
13,0.120399748447,16.4342632101,14.6001321378,-8.01651097118,68.2000000000004
14,0.786993149444,17.5115641696,16.1377181279,-12.3439100817,68.2000000000004
15,0.620164655552,16.258075463,13.7758619239,-5.48503628667,68.2000000000004
16,0.544268614322,15.710452493,12.6578317074,-7.49694695257,68.2000000000004
17,0.362111930708,17.67244731,18.8914656837,-5.81252276395,68.2000000000004
18,0.909111641618,42.1210613006,-6.47750826921,8.71976667808,68.2000000000004
19,0.325518433181,7.62158248843,19.4823725209,-3.84157719369,68.2000000000004
20,0.126971115688,13.2091259187,7.62058470307,-13.5645130753,68.2000000000004
21,0.929251035613,18.5587933555,17.4228711718,-3.2473268222,68.2000000000004
22,0.476266810944,3.92611137868,17.852338774,-18.6265831726,68.2000000000004
23,0.103634008596,5.06313910165,-6.14426958842,-23.6658705017,68.2000000000004
24,0.451233266327,18.0009336893,17.6653726408,-8.23990985299,68.2000000000004
25,0.426802749705,45.8814498999,13.1009615396,23.9137803328,68.2000000000004
26,0.990140016844,21.7657002489,15.0269127268,-8.53280131283,68.2000000000004
27,3.87834255963,16.6009882123,15.7111683819,-7.57870855566,68.2000000000004
28,0.124206870084,48.3189988693,43.7190988095,-14.3828387475,68.2000000000004
29,0.153098693261,16.8998522845,18.548891052,-7.5062987359,68.2000000000004
30,0.108708353602,16.3372365718,16.5512590574,-14.3272406178,68.2000000000004
31,0.846809510523,17.4160800297,-1.68186687633,-6.7498925605,68.2000000000004
32,0.241075326551,18.7348682731,17.8562619147,-4.72302223346,68.2000000000004
33,0.107470413845,15.7779886781,21.603449131,-8.81886500396,68.2000000000004
34,0.106694809385,12.4290481013,24.9832294736,5.67533697463,68.2000000000004
35,0.308604138465,17.7658052395,16.1609901258,-7.75792307352,68.2000000000004
36,0.341790110396,16.1770432841,13.8994504264,-6.10809977299,68.2000000000004
37,1.12625288302,15.4372078215,15.1093359486,-8.96166504354,68.2000000000004
38,0.512445640153,20.7725820389,29.6841960925,-7.44724549924,68.2000000000004
39,0.216304975066,18.2284510953,13.5146078768,-1.06486996693,68.2000000000004
40,0.594112158581,19.3553983231,12.4677021578,-11.8838136625,68.2000000000004
41,0.266663122037,18.7040194484,16.4203883704,-6.28625441892,68.2000000000004
42,0.10514753944,10.4965852657,18.5856912571,-4.19219079274,68.2000000000004
43,0.128535936717,13.2681072634,15.0285337281,-8.82384816668,68.2000000000004
44,0.146827415072,18.6141236184,16.8669456075,-4.46408561667,68.2000000000004
45,0.864238894124,16.9315949874,15.7119856797,-7.58590289662,68.2000000000004
46,0.112622318761,34.2558650596,-8.2259978893,-14.0980012116,68.2000000000004
47,0.335853293513,24.687275932,-0.0351698920689,4.03649142,68.2000000000004
48,0.158272552597,89.8818384702,88.5285694221,-48.3840214997,68.2000000000004
49,0.45707478911,-65.0016330046,35.9168087561,-5.15190561392,68.2000000000004
50,0.199693664672,18.2770959637,13.6857667734,-6.69864468164,68.2000000000004
51,0.118318354389,14.8667523497,14.0384192692,-10.6986989054,68.2000000000004
52,0.315068073152,10.6048230265,8.72853302651,-35.2317687661,68.2000000000004
53,0.427696042573,18.1694876798,16.3635648337,-8.25979016315,68.2000000000004
54,0.249002669293,15.4437023544,12.1495965252,-7.11811193996,68.2000000000004
55,0.210302247668,16.8063269895,16.694046037,-8.17725950444,68.2000000000004
56,5.03338772935,16.9700654739,15.5059352668,-8.3183704221,68.2000000000004
57,0.510683057148,16.0932177057,15.2758232668,-9.55376675912,68.2000000000004
58,0.174691769009,18.507768277,13.8721625923,-14.0885477637,68.2000000000004
59,0.527730880831,131.679962578,65.8222401243,60.6577701446,68.2000000000004
60,4.67254789911,12.3544995857,13.2815905786,-1.88071102813,68.2000000000004
61,0.100673554666,16.4341539504,15.8977144412,-9.25862251877,68.2000000000004
62,0.271517885259,15.5633870882,13.0559995197,-1.84532020215,68.2000000000004
63,1.06278653228,-29.3687896976,14.1795939663,-37.3433569165,68.2000000000004
64,0.500476242039,16.2686521665,14.8368932422,-9.1896063767,68.2000000000004
65,0.84248236107,11.7991900686,10.6805203991,-11.3371681147,68.2000000000004
66,0.256510115722,19.0849711545,17.3297360679,-5.88618692659,68.2000000000004
67,0.114991581022,13.6971804533,9.58320520468,-3.82991564643,68.2000000000004
68,4.14761750145,16.3025908455,18.0255343694,-7.74538034998,68.2000000000004
69,0.232718759096,16.7440325011,17.3025420861,-7.57666595253,68.2000000000004
70,0.133837555769,-3.92092139649,-3.8235511549,-9.21923438972,68.2000000000004
71,0.355838738577,16.6022297537,17.3882514321,-9.01709749103,68.2000000000004
