Star_ID,Mass (MSun),X (pc),Y (pc),Z (pc),Simulation Time (Myr)
0,0.335353726224,3.87157232021,-27.6422824467,12.8514896469,98.1999999999987
1,0.143342279968,-15.5711810027,-7.96561326726,13.2635975114,98.1999999999987
2,0.113523164696,-4.40699514858,-16.0981832946,17.8817136798,98.1999999999987
3,0.260892524754,-12.4101116105,-32.4033857851,19.6285391304,98.1999999999987
4,0.278483348248,-7.18490242955,-15.8447801215,16.5432146173,98.1999999999987
5,0.109822447498,-8.6156941963,-18.8742268553,32.7719618395,98.1999999999987
6,0.181637490009,-6.12088752737,-17.167892672,16.0173709564,98.1999999999987
7,0.1049969503,-33.102148557,-7.88593397845,79.9097578039,98.1999999999987
8,0.782230498454,-4.23492907115,-17.2003628184,19.547511268,98.1999999999987
9,1.12400545394,-9.76980260862,-15.8545730405,17.7477268111,98.1999999999987
10,3.72858085005,-9.06728010614,-14.3960302163,19.6416058342,98.1999999999987
11,1.19096629366,-9.6025934206,-12.511600853,19.8080792557,98.1999999999987
12,0.242737086656,-9.80030743988,-13.2055069232,18.9941101589,98.1999999999987
13,0.672204018833,-7.64009756757,-16.6827607736,19.0016975755,98.1999999999987
14,0.17699835788,-0.263392698423,-21.9938671687,19.7116505331,98.1999999999987
15,0.1062780589,4.35335615632,7.83761967505,49.4991127328,98.1999999999987
16,0.111046283309,-20.4447129127,-23.4028989106,14.212245024,98.1999999999987
17,0.134930858458,-8.08228704605,-15.1004102515,22.5898634581,98.1999999999987
18,0.611711497607,-5.04520797571,-16.0137632664,18.9787512385,98.1999999999987
19,0.602166715357,-19.7216852061,-23.3345127159,22.1928968061,98.1999999999987
20,0.322074758773,-6.51289067812,-12.4830269976,22.5410224342,98.1999999999987
21,0.261032168723,-6.27319292985,-17.0992789783,16.5536155908,98.1999999999987
22,0.147108985656,-8.97609518846,-15.9474987586,19.6934329745,98.1999999999987
23,0.615736222442,-15.5877354863,-48.2557796218,28.7308478233,98.1999999999987
24,0.374580202254,2.28985290118,-12.6316746759,24.0156610619,98.1999999999987
25,0.230899474386,-14.1578906581,-18.5388451099,23.2304126987,98.1999999999987
26,0.812931459418,-8.74367673349,-14.0415838757,20.0439437801,98.1999999999987
27,0.1778829228,-8.76915722531,-13.8438688738,20.2317102921,98.1999999999987
28,0.134690803686,-8.29525316739,-16.2561520244,19.7084564425,98.1999999999987
29,0.115027285623,-10.7752243433,-13.9251867474,18.4530279901,98.1999999999987
30,0.155111033877,-13.3574496019,-9.7982416172,23.8888658916,98.1999999999987
31,0.263554395519,-4.31090684099,-12.7049848624,24.9415412039,98.1999999999987
32,0.166431750308,-9.69332459086,-16.7130415022,20.0229706552,98.1999999999987
33,0.211013891663,-9.71606626914,-14.0030849439,17.0281473562,98.1999999999987
34,0.390967813731,-12.8968436182,-12.396832047,22.6881483488,98.1999999999987
35,0.190788585988,-6.75117066842,-13.1732158792,13.1693718574,98.1999999999987
36,0.106707468248,-7.14459961509,-7.77842311969,18.8600843241,98.1999999999987
37,0.17931703227,-9.53081984012,-14.2726617227,20.5272202069,98.1999999999987
38,0.106821802955,0.788853064862,-9.27548674589,11.8470527886,98.1999999999987
39,0.273271815888,-12.6624451421,-21.4743837665,19.4389867813,98.1999999999987
40,0.422466086302,-15.1930924116,-16.4466439651,16.4585820793,98.1999999999987
41,0.290009252057,-9.05875178281,-18.4781025219,16.0660805867,98.1999999999987
42,0.716515213069,9.32728207883,-47.7341347746,58.5160339758,98.1999999999987
43,0.136301575032,-6.87302066838,-15.6167010314,19.8881114823,98.1999999999987
